cohort,slice_id,genotype,n_rois,mean_delta_auc,median_delta_auc,median_raw_median_shift,median_robust_z_shift,median_baseline_mad_scale
ne_only_2023,AVG_062123_slice1_20X_zm1_jRGECO_CreGfp_H1RfloxedHOM_jRGECO_HiLo_Ave2,KO,10,1.205370288,1.038384174,2555.975,26.98161515,86.2762005
ne_only_2023,AVG_062123_slice1_20X_zm1_jRGECO_CreGfp_H1RfloxedHOM_jRGECO_HiLo_Ave2,WT,4,0.9179915673,0.918072982,2213.01,30.24006596,77.821674
ne_only_2023,AVG_062123_slice2_20X_zm1_jRGECO_CreGfp_H1RfloxedHOM_jRGECO_HiLo_Ave2,KO,10,3.132565471,2.940453887,8814.35,53.84511761,130.9914165
ne_only_2023,AVG_062123_slice2_20X_zm1_jRGECO_CreGfp_H1RfloxedHOM_jRGECO_HiLo_Ave2,WT,3,2.358712367,1.891359624,5215.01,63.46943442,88.570524
ne_only_2023,AVG_062223_slice1_20X_zm1_jRGECO_CreGfp_H1RfloxedHOM_jRGECO_HiLo_Ave2,KO,6,1.257800527,1.291325764,3362.13,20.3244574,180.476898
ne_only_2023,AVG_062223_slice1_20X_zm1_jRGECO_CreGfp_H1RfloxedHOM_jRGECO_HiLo_Ave2,WT,9,0.9086390896,0.9561273873,2393.9,17.6392366,123.626601
ne_only_2023,AVG_062223_slice2_20X_zm1_jRGECO_CreGfp_H1RfloxedHOM_jRGECO_HiLo_Ave2,KO,9,1.156165099,1.038185816,2402.74,27.07416318,105.761271
ne_only_2023,AVG_062223_slice2_20X_zm1_jRGECO_CreGfp_H1RfloxedHOM_jRGECO_HiLo_Ave2,WT,5,1.139778478,0.342735214,934.3,8.020576767,133.115241
ne_only_2023,AVG_062223_slice3_20X_zm1_jRGECO_CreGfp_H1RfloxedHOM_jRGECO_HiLo_Ave2,KO,12,1.22860199,1.187398863,3096.835,18.4712336,202.6232355
ne_only_2023,AVG_062223_slice3_20X_zm1_jRGECO_CreGfp_H1RfloxedHOM_jRGECO_HiLo_Ave2,WT,3,0.7496273575,0.6204490063,1582.2,7.818449611,202.367487
post_low_histamine_2025,AVG_032225_slice1_20X_zm1_GCaMP,KO,3,0.5057592366,0.3755510173,898.2,2.263169973,438.249147
post_low_histamine_2025,AVG_032225_slice1_20X_zm1_GCaMP,WT,1,0.1816832581,0.1816832581,396.05,0.9951647181,397.974318
post_low_histamine_2025,AVG_032225_slice2_20X_zm1_GCaMP,KO,3,0.4349289894,0.2921413967,607.66,1.881477483,305.56386
post_low_histamine_2025,AVG_032225_slice2_20X_zm1_GCaMP,WT,4,0.4313490861,0.4957849701,1126.48,3.692810689,303.317721
post_low_histamine_2025,AVG_032225_slice4_20X_zm1_GCaMP,WT,5,0.3962756663,0.3366488364,839.84,2.604553402,307.313328
post_low_histamine_2025,AVG_040725_Slice1_H1Rflox_GCaMP_CreRFP,KO,6,1.2109849,1.073493339,2768.825,8.926826052,259.6959225
post_low_histamine_2025,AVG_040725_Slice1_H1Rflox_GCaMP_CreRFP,WT,7,0.4353149836,0.4293239964,1093.08,3.754517997,299.915154
post_low_histamine_2025,AVG_040725_Slice2_H1Rflox_GCaMP_CreRFP,KO,9,0.9070239547,0.6021481042,1626.9,7.584262478,230.981667
post_low_histamine_2025,AVG_040725_Slice2_H1Rflox_GCaMP_CreRFP,WT,1,0.4252993964,0.4252993964,1391.99,5.399921736,257.779662
post_low_histamine_2025,AVG_040725_Slice3_H1Rflox_GCaMP_CreRFP,KO,4,0.0002525141868,0.0002290301995,0.98,11.48882594,0.0926625
post_low_histamine_2025,AVG_040725_Slice3_H1Rflox_GCaMP_CreRFP,WT,9,0.0002831140643,0.0002670901737,0.95,11.28239089,0.096369
post_low_histamine_2025,AVG_040725_Slice4_H1Rflox_GCaMP_CreRFP,KO,4,1.150642092,1.155669932,2926.295,42.4883074,91.3689315
post_low_histamine_2025,AVG_040725_Slice4_H1Rflox_GCaMP_CreRFP,WT,8,0.4490750138,0.428625386,1087.45,11.16744346,115.7058105
post_low_histamine_2025,AVG_041025_Slice4_H1Rflox_GCaMP_CreRFP,KO,4,0.4645324502,0.4607031876,961.14,3.580863264,285.3449025
post_low_histamine_2025,AVG_041025_Slice4_H1Rflox_GCaMP_CreRFP,WT,8,0.4167943687,0.3886712043,783.13,3.708909848,211.285326
